railway,road,air,water,railwaypvolum,roadpvolum,airpvolum,waterpvolum,railwayfvolum,roadfvolum,airfvolum,waterfvolum,gdp
2.29,12.67,1.31,9.5,200.64,22.64,0.24,24.5,601.6,14.49,0.02,145.75,679
2.38,13.71,1.4,9.5,281.68,33.82,0.33,34.12,781.39,23.33,0.04,185.64,824
2.45,14.61,1.52,9.5,294.67,41.33,0.51,34.38,932.4,29.09,0.06,241.73,859
2.56,16.73,1.55,9.99,267.42,50.26,0.57,35.2,981.51,34.07,0.05,303.98,910
2.65,22.63,1.91,10.36,343.79,78.21,1.04,42.29,1203.51,44.36,0.08,342.87,1028
2.67,25.46,2.64,14.41,361.3,88.07,0.8,46.38,1345.9,47.98,0.08,415.58,1068
3.02,42.18,3.3,15.2,409.22,116.14,1.19,45.75,1855.25,77.48,0.13,517.22,1307
3.23,50.79,3.72,16.3,517.21,139.71,1.43,53.35,2476.32,106.74,0.22,688.95,1439
3.39,51,3.81,17,674.02,146.01,1.62,61.9,2766.88,132.47,0.26,767.77,1457
3.45,47.7,3.91,17.2,895.63,128.83,1.38,79.49,2007.71,76.08,0.24,542.81,1220
3.46,46.35,3.53,16.19,859.01,141.46,1.17,83.92,1721.08,62.13,0.15,452.59,1149
3.5,47.51,3.58,15.72,532.11,134.25,1.4,58.8,1815.95,64.25,0.17,467.97,1233
3.69,47.92,3.85,15.69,486.16,146.34,1.99,51.32,2126.03,74.24,0.2,550.33,1454
3.8,51.45,3.94,15.77,478.99,168.2,2.48,47.37,2698.69,95.06,0.25,670.24,1716
3.93,54.36,3.94,14.72,504.94,207.48,2.19,64.32,3018.92,116.36,0.32,765.96,1868
4.01,55.75,4.45,14.78,595.35,200,2.44,65.96,2268.78,101.49,0.38,679.69,1774
4.03,57.17,4,14.78,680.58,185.84,2.07,67.76,2238.77,84.42,0.32,785.73,1723
4.17,60.06,3.99,14.81,772.06,222.21,1.71,74.71,2783.33,110.34,0.33,860.34,1938
4.37,63.67,4.06,14.84,718.19,240.06,1.79,71.01,3495.97,138.05,0.35,931.34,2253
4.53,67.54,4.21,14.16,762.52,268.07,2.95,73.35,3765.94,153.79,0.32,1275.7,2426
4.63,69.99,4.25,14.06,851.91,302.48,4.19,77.1,3913.2,164.31,0.29,1509.76,2518
4.66,71.56,4.53,13.88,902.58,333.28,5.73,83.61,4082.18,175.7,0.3,1949.24,2721
4.75,73.79,8.13,13.74,925.5,354.88,9.32,86.87,3812.89,174.75,0.42,2162.83,2790
4.86,78.36,8.42,13.56,954.09,374.48,15.39,90.59,4255.64,202.65,0.6,2574.67,2997
4.91,82.34,9.78,13.74,957.08,402.51,15.74,94.29,3869.52,209.56,0.73,2467.15,2944
5.06,85.56,13.21,13.74,1022.73,448.12,18.34,97.48,4568.84,251.31,0.76,2761.7,3202
5.17,89.02,14.89,13.6,1093.22,521.3,27.91,100.63,5345.19,350.3,0.97,3801.8,3678.7
5.3,87.58,16,10.78,1216.17,603.29,34.99,114.01,5598.71,745,1.23,4564.2,4100.5
5.33,88.83,19.53,10.85,1383.16,729.5,39.56,129.12,5717.5,342.9,1.41,5076.5,4587.6
5.39,89.75,21.82,10.87,1472.63,839,50.16,137.81,5712.01,780,1.7,5149.89,4935.8
5.33,90.7,23.27,10.86,1574.84,963.86,59.51,144.54,6119.86,949,1.98,5477.12,5373.4
5.46,91.51,22.91,10.89,1776.51,1105.61,58.96,153.93,6646.53,1084,2.29,5787.62,6020.9
5.48,92.67,26.02,10.93,2046.38,1336.94,83.5,153.53,7247.64,1536,3.11,6335.01,7278.5
5.52,94.24,27.72,10.91,2416.14,1724.88,115.72,178.65,8125.66,1903,4.15,7729.3,9098.9
5.58,96.28,32.31,10.94,2586.71,1981.74,146,182.06,8764.78,2118,4.81,8647.9,10376.2
5.6,98.22,38.91,10.98,2843.06,2190.43,186.06,195.92,9471.49,2660.4,6.52,9465.1,12174.6
5.62,99.96,37.38,10.94,3260.31,2528.24,216.91,203.92,9877.59,3220.4,7.32,10070.4,15180.4
5.7,101.43,47.19,10.9,3037.41,2662.11,186.77,188.26,10394.18,3374.8,6.93,11186.8,17179.7
5.79,102.83,50.68,10.92,2612.64,2620.32,230.48,164.91,10622.38,3358.1,8.18,11591.9,18872.9
5.78,104.11,55.91,10.97,2828.05,2871.74,301.32,177.21,10972,3428,10.1,12955.4,22005.6
5.81,105.67,83.66,10.97,3152.24,3192.64,406.12,198.38,11575.55,3755.39,13.42,13256.2,27194.5
5.86,108.35,96.08,11.02,3483.3,3700.7,477.6,196.4,12090.9,4070.5,16.61,13860.8,35673.2
5.9,111.78,104.56,11.1,3636.04,4220.3,551.58,183.5,12632,4486.3,18.58,15686.6,48637.5
6.24,115.7,112.9,11.1,3545.7,4603.1,681.3,171.8,13049.48,4694.9,22.3,17552.2,61339.9
6.49,118.58,116.65,11.08,3347.6,4908.79,747.84,160.57,13106.2,5011.2,24.93,17862.5,71813.6
6.6,122.64,142.5,10.98,3584.86,5541.4,773.52,155.7,13269.9,5271.5,29.1,19235,79715
6.64,127.85,150.58,11.03,3773.42,5942.81,800.24,120.27,12560.1,5483.38,33.45,19405.8,85195.5
6.74,135.17,152.22,11.65,4135.94,6199.2,857.3,107.3,12910.3,5724.3,42.34,21262.8,90564.4
6.87,167.98,150.29,11.93,4532.59,6657.42,970.54,100.54,13770.49,6129.4,50.27,23734.2,100280.1
7.01,169.8,155.36,12.15,4766.82,7207.08,1091.35,89.88,14694.1,6330.4,43.72,25988.9,110863.1
7.19,176.52,163.77,12.16,4969.38,7805.77,1268.7,81.78,15658.4,6782.5,51.55,27510.6,121717.4
7.3,180.98,174.95,12.4,4788.61,7695.6,1263.19,63.1,17246.7,7099.48,57.9,28715.8,137422
7.44,187.07,204.94,12.33,5712.17,8748.38,1782.28,66.25,19288.8,7840.9,71.8,41428.7,161840.2
7.54,334.52,199.85,12.33,6061.96,9292.08,2044.93,67.77,20726,8693.2,78.9,49672.3,187318.9
7.71,345.7,211.35,12.34,6622.12,10130.85,2370.66,73.58,21954.41,9754.25,94.28,55485.75,219438.5
7.8,358.37,234.3,12.35,7216.31,11506.77,2791.73,77.78,23797,11354.69,116.39,64284.85,270092.3
7.97,373.02,246.18,12.28,7778.6,12476.11,2882.8,59.18,25106.28,32868.19,119.6,50262.7,319244.6
8.55,386.08,234.51,12.37,7878.89,13511.44,3375.24,69.38,25239.17,37188.82,126.23,57556.67,348517.7
9.12,400.82,276.51,12.42,8762.18,15020.81,4039,72.27,27644.13,43389.67,178.9,68427.53,412119.3
9.32,410.64,349.06,12.46,9612.29,16760.25,4536.96,74.53,29465.79,51374.74,173.91,75423.84,487940.2
9.76,423.75,328.01,12.5,9812.33,18467.55,5025.74,77.48,29187.09,59534.86,163.89,81707.58,538580
10.31,435.62,410.6,12.59,10595.62,11250.94,5656.76,68.33,29173.89,55738.08,170.29,79435.65,592963.2
11.18,446.39,463.72,12.63,11604.75,12084.1,6334.19,74.34,27530.19,61016.62,187.77,92774.56,643563.1
12.1,457.73,531.72,12.7,11960.6,10742.66,7282.55,73.08,23754.31,57955.72,208.07,91772.45,688858.2
12.4,469.63,634.81,12.71,12579.29,10228.71,8378.13,72.33,23792.26,61080.1,222.45,97338.8,746395.1
12.7,477.35,748.3,12.7,13456.92,9765.18,9513.04,77.66,26962.2,66771.52,243.55,98611.25,832035.9
13.17,484.65,837.98,12.71,14146.58,9279.68,10712.32,79.57,28820.99,71249.21,262.5,99052.82,919281.1
13.9,501.25,948.22,12.73,14706.64,8857.08,11705.12,80.22,30181.95,59636.39,263.19,103963.04,990865.1
14.46,501.2550125,948.2294822,12.7301273,15441.97,8857.168571,11705.23705,80.2208022,30785.59,59636.98636,263.1926319,103964.0796,1030499.7
14.6,519.81,942.63,12.77,8266.19,4641.01,6311.25,32.99,30514.46,60171.85,240.18,105834.44,1015986
